
xv6 kernel is booting

hart 1 starting
hart 2 starting
init: starting sh
$ trace 2 usertests forkforkfork
usertests starting
3: syscall fork -> 4
test forkforkfork: 3: syscall fork -> 5
5: syscall fork -> 6
6: syscall fork -> 7
6: syscall fork -> 8
7: syscall fork -> 9
6: syscall fork -> 10
7: syscall fork -> 11
6: syscall fork -> 12
6: syscall fork -> 13
7: syscall fork -> 14
6: syscall fork -> 15
7: syscall fork -> 16
6: syscall fork -> 17
7: syscall fork -> 18
6: syscall fork -> 19
9: syscall fork -> 20
6: syscall fork -> 21
7: syscall fork -> 22
6: syscall fork -> 23
23: syscall fork -> 25
7: syscall fork -> 24
6: syscall fork -> 26
8: syscall fork -> 27
6: syscall fork -> 28
7: syscall fork -> 29
7: syscall fork -> 30
8: syscall fork -> 31
6: syscall fork -> 32
7: syscall fork -> 33
6: syscall fork -> 34
6: syscall fork -> 35
6: syscall fork -> 36
6: syscall fork -> 37
7: syscall fork -> 38
6: syscall fork -> 39
7: syscall fork -> 40
6: syscall fork -> 41
7: syscall fork -> 42
6: syscall fork -> 43
7: syscall fork -> 44
6: syscall fork -> 45
6: syscall fork -> 46
7: syscall fork -> 47
6: syscall fork -> 48
7: syscall fork -> 49
6: syscall fork -> 50
7: syscall fork -> 51
7: syscall fork -> 52
6: syscall fork -> 53
7: syscall fork -> 54
6: syscall fork -> 55
7: syscall fork -> 56
7: syscall fork -> 57
6: syscall fork -> 58
7: syscall fork -> 59
8: syscall fork -> 60
6: syscall fork -> 61
8: syscall fork -> 62
6: syscall fork -> 63
7: syscall fork -> 64
6: syscall fork -> 65
7: syscall fork -> -1
6: syscall fork -> -1
8: syscall fork -> -1
OK
3: syscall fork -> 66
ALL TESTS PASSED
$ qemu-system-riscv64: terminating on signal 15 from pid 5820 (make)
